name,party,image
Benoît Hamon,Parti socialiste,http://commons.wikimedia.org/wiki/Special:FilePath/Benoit%20Hamon%20280816.jpg
Emmanuel Macron,La République en marche,http://commons.wikimedia.org/wiki/Special:FilePath/Emmanuel%20Macron%20in%20Tallinn%20Digital%20Summit.%20Welcome%20dinner%20hosted%20by%20HE%20Donald%20Tusk.%20Handshake%20%2836669381364%29%20%28cropped%202%29.jpg
François Asselineau,Union populaire républicaine,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20ASSELINEAU.jpg
François Fillon,Les Républicains,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20Fillon%202010.jpg
Jacques Cheminade,Solidarité et Progrès,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Cheminade%202.jpg
Jean Lassalle,Résistons !,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Lassalle%2004.jpg
Jean-Luc Mélenchon,La France insoumise,http://commons.wikimedia.org/wiki/Special:FilePath/Melenchon%2C%206%C3%A8me%20R%C3%A9publique%20-%20MG%206513%20%28cropped%29.jpg
Marine Le Pen,Front national,http://commons.wikimedia.org/wiki/Special:FilePath/Marine%20Le%20Pen%20%282017-03-24%29%2001%20cropped.jpg
Nathalie Arthaud,Lutte ouvrière,http://commons.wikimedia.org/wiki/Special:FilePath/Nathalie%20Arthaud.png
Nicolas Dupont-Aignan,Debout la France,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Dupont-Aignan%20DLR%202009-06-02%20n1.jpg
Philippe Poutou,Nouveau parti anticapitaliste,http://commons.wikimedia.org/wiki/Special:FilePath/Les%20Gilets%20Jaunes%20%2833249708098%29%20%28cropped%29.jpg
